Nome,Tópico,Progresso,Terminado,Link,Última Visualização
,,,No,,
schemahero,,,No,https://schemahero.io/,"February 23, 2022"
https://github.com/newrelic/https://github.com/newrelic/gatsby-theme-newrelic,,,No,https://github.com/newrelic/gatsby-theme-newrelic,"February 23, 2022"
Figma for Developers,,,No,https://dev.to/kathryngrayson/figma-for-developers-6op?utm_source=tldrnewsletter,"February 23, 2022"
angular material patternlab,,,No,https://www.google.com/search?ei=QLovYOLzHurH5OUP0MWVmAI&q=angular+material++patternlab&oq=angular+material++patternlab&gs_lcp=Cgdnd3Mtd2l6EAM6BggAEAcQHjoICAAQBxAKEB46CggAEAgQBxAKEB46CAgAEAgQBxAeUIJwWOaGAWC6iQFoAHACeACAAY0DiAHlFZIBCDIuMTAuMi4ymAEAoAEBqgEHZ3dzLXdpesABAQ&sclient=gws-wiz&ved=0ahUKEwjik-udhPbuAhXqI7kGHdBiBSMQ4dUDCA0&uact=5,"February 17, 2022"
Brian Muenzenmeyer,,,No,https://github.com/bmuenzenmeyer,"February 17, 2022"
Steve Martin,,,No,https://github.com/stevemartin,"February 17, 2022"
Atomic Design with Patternlab & Angular 2 - part 1,,,No,https://coeruleus.co/frontend/2016/08/03/atomic-design-with-patternlab-node-and-angular-2-part-1.html,"February 17, 2022"
"Introduction to PatternLab, a pattern-driven UI tool",,,No,https://blog.smartart.it/2017/07/20/introduction-to-patternlab-a-pattern-driven-ui-tool/,"February 17, 2022"
Combining Pattern Lab with Gulp for Improved Workflow,,,No,https://webdesign.tutsplus.com/tutorials/combining-pattern-lab-with-gulp-for-improved-workflow--cms-22187,"February 17, 2022"
How To Make And Maintain Atomic Design Systems With Pattern Lab 2,,,No,https://www.smashingmagazine.com/2016/07/building-maintaining-atomic-design-systems-pattern-lab/,"February 17, 2022"
Atomic Design,,,No,https://www.youtube.com/watch?v=KVrKZCqVesY,"February 17, 2022"
https://pagure.io/patternlab,,,No,https://pagure.io/patternlab,"February 17, 2022"
Angular Material,,,No,https://material.angular.io/components/checkbox/overview,"February 17, 2022"
Atomic Design: Garantindo a coesão a longo prazo,,,No,https://www.organicadigital.com/seeds/atomic-design-garantindo-a-coesao-a-longo-prazo/,"February 17, 2022"
Swagger UI Demo,,,No,https://idratherbewriting.com/learnapidoc/pubapis_swagger_demo.html,"February 17, 2022"
Font Awesome,,,No,https://fontawesome.com/,"February 17, 2022"
An In-Depth Overview Of Living Style Guide Tools,,,No,https://www.smashingmagazine.com/2015/04/an-in-depth-overview-of-living-style-guide-tools/,"February 17, 2022"
Installing and configuring PatternLab,,,No,https://blog.smartart.it/2017/11/28/installing-and-configuring-patternlab/,"February 17, 2022"
atomic design,,,No,https://bradfrost.com/blog/post/atomic-web-design/,"February 17, 2022"
SiteFarm Pattern Lab: The Technical Stuff,,,No,https://sitefarm.ucdavis.edu/blog/sitefarm-pattern-lab-technical-stuff,"February 17, 2022"
A Little Background on Pattern Lab,,,No,https://sitefarm.ucdavis.edu/blog/background-pattern-lab,"February 17, 2022"
"Toasts Simple, Success, Info, Warning, Error",,,No,https://artemsky.github.io/ng-snotify/documentation/essentials/examples.html#,"February 17, 2022"
vue-snotify,,,No,https://artemsky.github.io/vue-snotify/documentation/index.html,"February 17, 2022"
ngIf,,,No,https://docs.angularjs.org/api/ng/directive/ngIf,"February 17, 2022"
Ways to mock dependencies for tests,,,No,https://dg3feiko.github.io/testing/2015/10/15/Ways-to-mock-dependencies-for-tests/,"February 17, 2022"
Stubbing Redis with SinonJS,,,No,https://stnight99.hashnode.dev/stubbing-redis-with-sinonjs-cjyux7ch0000pj7s1i2s4g4ll,"February 17, 2022"
https://github.com/HaidarZ/https://github.com/HaidarZ/ng-mat-select-infinite-scroll,,,No,https://github.com/HaidarZ/ng-mat-select-infinite-scroll,"February 17, 2022"
Adding Infinite Scroll Functionality to Angular Material Select Component,,,No,https://dev.to/haidarz/adding-infinite-scroll-functionality-to-angular-material-select-component-1lho,"February 17, 2022"
Infinite Scroll with Angular and Firebase,,,No,https://www.youtube.com/watch?v=Cy5MjeXZobE,"February 17, 2022"
TSLint is deprecated: how to upgrade to ESlint,,,No,https://www.darraghoriordan.com/2020/03/06/upgrade-tslint-deprecated-to-eslint/,"February 17, 2022"
Preserve scroll position in prototypes,,,No,https://help.figma.com/hc/en-us/articles/360051747774-Preserve-scroll-position-in-prototypes,"February 17, 2022"
Flutter Firebase App Setup for Power Users,,,No,https://fireship.io/snippets/install-flutterfire/,"February 17, 2022"
Design A Website In Under 1 Hour With Figma,,,No,https://www.youtube.com/watch?v=FK4YusHIIj0,"February 17, 2022"
"How to create Figma hover effects with UX Mastermind, Madeline Olsen",,,No,https://www.youtube.com/watch?v=csyoeoGz-Aw,"February 17, 2022"
https://dribbble.com/,,,No,https://dribbble.com/,"February 17, 2022"
RxJS,,,No,https://rxjs-dev.firebaseapp.com/api/operators,"February 17, 2022"
Switching to the Most Recent Observable with switchMap,,,No,https://www.pluralsight.com/guides/switching-to-most-recent-observable-switchmap,"February 17, 2022"
Switching to the Most Recent Observable with switchMap,,,No,https://www.freakyjolly.com/angular-rxjs-debounce-time-optimize-search-for-server-response/,"February 17, 2022"
Filter an array of objects in a Observable (Angular),,,No,https://mydaytodo.com/filter-array-observable-angular/,"February 17, 2022"
26 Best Interactive UI Design Examples for Your Inspiration in 2019,,,No,https://medium.com/@tristaljing/26-best-interactive-ui-design-examples-for-your-inspiration-in-2019-c1d8106338f8,"February 17, 2022"
Designs Exemple,,,No,https://collectui.com/,"February 17, 2022"
